source	target	edge
Container-waste_container_valve1-max volume	None	has_value
Container-waste_container_valve1	container type	has_property
Container-waste_container_valve1-container type	None	has_value
Container-waste_container_valve1	has stirbar	has_property
Container-waste_container_valve1-has stirbar	False	has_value
Container-waste_container_valve1	is capped	has_property
Container-waste_container_valve1-is capped	False	has_value
Container-Reaction_Flask_50_mL	Add Chemical-496	is_used_by
Add Chemical-496	Container-Reaction_Flask_50_mL	uses_material_from
Chemical-ZrOCl28 H2O-558	Add Chemical-496	is_used_by
Add Chemical-496	Chemical-ZrOCl28 H2O-558	uses_material_from
Add Chemical-496	Add Chemical-624	is_used_by
Add Chemical-624	Add Chemical-496	uses_material_from
Chemical-DMF-686	Add Chemical-624	is_used_by
Add Chemical-624	Chemical-DMF-686	uses_material_from
Add Chemical-624	Heat-752	is_used_by
Heat-752	Add Chemical-624	uses_material_from
Heat-752	Sonicate-798	is_used_by
Sonicate-798	Heat-752	uses_material_from
Sonicate-798	Add Chemical-844	is_used_by
Add Chemical-844	Sonicate-798	uses_material_from
Chemical-acetic acid-906	Add Chemical-844	is_used_by
Add Chemical-844	Chemical-acetic acid-906	uses_material_from
Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	Add Chemical-844	is_used_by
Add Chemical-844	Chemical-4,4'-(anthracene-9,10-diyl)dibenzoic acid-972	uses_material_from
Add Chemical-844	Heat-1038	is_used_by
Heat-1038	Add Chemical-844	uses_material_from
Heat-1038	Heat-1084	is_used_by
Heat-1084	Heat-1038	uses_material_from
Heat-1084	Centrifuge-1130	is_used_by
Centrifuge-1130	Heat-1084	uses_material_from
Chemical-DMF-1246	Remove Supernatant And Redisperse-1180	is_used_by
Remove Supernatant And Redisperse-1180	Chemical-DMF-1246	uses_material_from
Container-ZrOCl2_Container	Chemical-ZrOCl28 H2O-558	contains_chemical
Chemical-ZrOCl28 H2O-558	Container-ZrOCl2_Container	is_contained_in
